genre,popularity,duration_ms,tempo,key,mode,key_confidence,energy,danceability,valence,instrumentalness,acousticness,loudness,segments_count,segments_avg_duration,beats_count,beats_regularity,Relax/Chill
,45.0,,87.59,6.0,1.0,0.68,0.3,0.43,0.78,0.78,0.96,0.32,43.0,0.68,43.0,0.91,Happy/Excited
j-rock,46.0,168093.0,79.51,6.0,1.0,0.58,0.35,0.36,0.78,0.75,0.95,0.23,40.0,0.75,40.0,0.89,Relax/Chill
,46.0,,152.0,11.0,1.0,0.54,0.32,0.48,0.8,0.77,0.95,0.29,70.0,0.39,70.0,0.92,Tired/Sad
,40.0,,136.0,4.0,0.0,0.51,0.34,0.59,0.5,0.77,0.94,0.24,30.0,0.44,30.0,0.86,Happy/Excited
,13.0,,129.2,8.0,0.0,0.51,0.34,0.45,0.47,0.74,0.96,0.18,61.0,0.46,61.0,0.91,Relax/Chill
,8.0,,95.7,8.0,0.0,0.46,0.24,0.44,0.33,0.81,0.98,0.38,43.0,0.63,43.0,0.85,Relax/Chill
,30.0,,161.5,9.0,1.0,0.48,0.33,0.43,0.8,0.76,0.96,0.28,79.0,0.37,79.0,0.94,Relax/Chill
,37.0,,112.35,4.0,1.0,0.44,0.33,0.44,0.79,0.76,0.95,0.25,52.0,0.53,52.0,0.91,Relax/Chill
,26.0,,103.36,11.0,1.0,0.48,0.28,0.41,0.75,0.76,0.97,0.3,50.0,0.58,50.0,0.87,Happy/Excited
dance,82.0,212733.0,123.05,3.0,1.0,0.53,0.31,0.43,0.79,0.77,0.96,0.31,61.0,0.49,61.0,0.92,Relax/Chill
dance,79.0,227833.0,120.19,11.0,1.0,0.58,0.3,0.42,0.79,0.78,0.95,0.34,60.0,0.5,60.0,0.95,Relax/Chill
dance,81.0,251173.0,136.0,9.0,1.0,0.45,0.35,0.46,0.8,0.74,0.94,0.21,63.0,0.44,63.0,0.93,Happy/Excited
dance,76.0,222706.0,105.47,1.0,1.0,0.56,0.31,0.45,0.79,0.77,0.95,0.29,48.0,0.57,48.0,0.93,Happy/Excited
,46.0,,136.0,9.0,1.0,0.57,0.35,0.45,0.8,0.75,0.95,0.21,62.0,0.44,62.0,0.9,Relax/Chill
